id,center,fy,sic,naics,state,sales,employees,plant_area,products,produnits,prodlevel,prodhours,recc_count_recc,ec_plant_cost,ec_plant_usage,ed_plant_cost,ed_plant_usage,ef_plant_cost,e2_plant_cost,e2_plant_usage,e3_plant_cost,e3_plant_usage,e4_plant_cost,e4_plant_usage,e5_plant_cost,e5_plant_usage,e6_plant_cost,e6_plant_usage,e7_plant_cost,e7_plant_usage,e8_plant_cost,e8_plant_usage,e9_plant_cost,e9_plant_usage,e10_plant_cost,e10_plant_usage,e11_plant_cost,e11_plant_usage,e12_plant_cost,e12_plant_usage,w0_plant_cost,w0_plant_usage,w1_plant_cost,w1_plant_usage,w2_plant_cost,w2_plant_usage,w3_plant_cost,w3_plant_usage,w4_plant_cost,w4_plant_usage,w5_plant_cost,w5_plant_usage,w6_plant_cost,w6_plant_usage
AM0024,AM,1988,3585,,TX,1575000,42,,COPPER MANIFOLDS,1,775000,2600,3,15852,189625,,,,6052,1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0025,AM,1988,2013,,TX,12000000,89,,BEEF PATTIES,2,12000000,2600,6,74177,1674678,,,,4000,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0026,AM,1988,3714,,TX,14000000,230,,AUTO AIR CONDITIONER COMPRESSORS,1,236000,2267,6,170004,2866940,,,,23424,6653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0027,AM,1988,2653,,TX,30000000,120,,CORREGATED SHIPPING CONTAINERS,6,650000,6588,7,155665,3073271,,,,182013,44826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0028,AM,1988,2653,,TX,20000000,120,,CORREGATED PAPER CONTAINERS,3,34200,6000,10,186318,3546014,,,,126687,31798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0029,AM,1988,2448,,TX,3700000,90,,WOODEN PALLETS,1,875000,2000,7,120139,1443728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0030,AM,1988,3585,,TX,5500000,100,,AIR CONDITIONING EQUIPMENT,2,500000,2080,8,41798,543083,,,,9606,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0031,AM,1988,2819,,TX,14000000,50,,CATALYST CARRIERS,2,2000000,6240,9,125987,1985932,,,,119554,35548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0032,AM,1988,2879,,TX,13500000,31,,"INSECTICIDES, HERBICIDES",5,1540,8736,9,119053,1936401,,,,20200,5575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0033,AM,1988,2048,,TX,42000000,250,,CATTLE & HORSES PROCESS,1,108000,2340,13,465245,10709848,,,,162553,56300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0034,AM,1988,2051,,TX,2000000,80,,FRUIT CAKES,2,360000,2620,5,12857,220106,,,,4632,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0035,AM,1988,3535,,TX,15000000,135,,AERIAL HYDRAULIC LIFTS,1,1820,2160,6,57435,1099941,,,,8618,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0036,AM,1988,3452,,TX,30000000,200,,STEEL & ALUMINUM FASTENERS,2,26000000,4160,5,482750,11427022,,,,332272,99740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0037,AM,1988,3545,,TX,4000000,52,,CARBIDE INSERTS,2,1500000,6000,8,84769,1364889,,,,379,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0038,AM,1988,2891,,TX,12000000,55,,CHEMICAL FORMULATIONS,1,202400,2777,7,30961,412954,,,,5101,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0039,AM,1988,3315,,TX,15000000,70,,WELDED WIRE FABRIC,3,30000,6240,5,106364,1725967,,,,2791,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0040,AM,1988,2657,,TX,5000000,60,,FOLDING BOXES,2,720000,,5,39514,721864,,,,1300,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0041,AM,1988,2431,,TX,20000000,75,,PRE-HUNG DOOR UNITS,1,46800,2032,6,91650,1143025,,,,,,6313,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0042,AM,1988,3448,,TX,25000000,148,,PREFABRICATED STEEL,3,15300,5200,9,74160,1258499,,,,13624,3352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0043,AM,1988,2451,,TX,12000000,104,,MANUFACTURED HOUSING,1,750,2000,8,36465,519637,,,,1544,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0044,AM,1988,3325,,TX,12000000,220,,STEEL CASTINGS,3,726,4096,13,893000,17505862,,,,441315,159342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0045,AM,1988,3593,,TX,6000000,50,,"CYLINDERS, PUMPS, MOTORS",1,5000,2660,7,25630,352579,,,,11693,2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0046,AM,1988,2099,,TX,5000000,50,,PREPARED SALADS,2,6000000,2020,10,40534,726553,,,,11491,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0047,AM,1988,3443,,TX,50800000,300,,STORAGE TANKS & VESSELS,3,28000,2142,3,227621,4383353,,,,30488,6541,10000,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0048,AM,1988,3624,,TX,12000000,119,,OIL FIELD RELATED PRODS.,1,17400,4160,7,240506,3805100,,,,330260,104091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0049,AM,1988,3441,,TX,25000000,115,,FABRICATED STEEL PRODUCTS,3,14500,2295,9,121479,1844959,,,,28018,5939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0050,AM,1988,3792,,TX,16000000,125,,TRAVEL TRAILERS,1,1300,2080,6,40321,668230,,,,3507,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0051,AM,1988,3448,,TX,15000000,140,,MODULAR BUILDINGS,1,35,2150,8,74513,1157093,,,,2226,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0052,AM,1988,2096,,TX,47000000,233,,POTATO & CORN CHIPS,2,31000000,6072,9,293578,6441677,,,,451743,125178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0053,AM,1989,3398,,TX,2000000,22,,HEAT TREATED METAL PARTS,,,2008,6,24806,343787,,,,9169,2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0054,AM,1989,2421,,TX,13000000,60,,ROUGH & MILLED WOOD,6,8000,2000,8,97693,1322978,,,,24437,5684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0055,AM,1989,2813,,TX,5000000,20,,LIQUID CARBON DIOXIDE,3,82490,8736,5,534247,11597890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0056,AM,1989,2048,,TX,6000000,40,,LIVESTOCK & POULTRY FEED,3,140000,6072,8,73582,1657972,,,,26141,6616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0057,AM,1989,2531,,TX,2500000,98,,FURNITURE FOR CHURCHES,6,76,2159,7,84831,1301876,,,,22362,5359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0058,AM,1989,2679,,TX,2000000,20,,PAPER FIBER INSULATION,1,300000,2000,3,44711,453986,,,,,,,,,,,,,,,,,,,,,,,,4500,563,,,,,,,,,,,,,,
AM0059,AM,1989,3449,,TX,7000000,50,,STEEL,3,10000,2016,9,34163,396542,,,,10374,2511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0060,AM,1989,3479,,TX,7000000,69,,STEEL CASING AND TUBING,3,6600,4144,8,301358,6276671,,,,562325,178887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0061,AM,1989,2653,,TX,17000000,117,,CORRUGATED CONTAINERS,6,6000,6600,9,217470,4346131,,,,158500,43227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0062,AM,1989,3533,,TX,10000000,75,,OILFIELD VALVES & EQUIPMENT,1,500,2912,8,40591,625147,,,,7335,1626,,,,,,,,,,,,,,,,,,,6240,811,,,,,,,,,,,,,,
AM0063,AM,1989,3492,,TX,6000000,50,,PRESSURE CONTROL EQUIPMENT,1,47000,2142,7,110381,1871923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0064,AM,1989,3494,,TX,13000000,115,,PLASTIC LINED PIPES,6,144,6000,11,261894,4370457,,,,16368,3426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0065,AM,1989,3571,,TX,33000000,480,,COMPUTER CONTROL SYSTEMS,,,2024,6,332736,6885991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0066,AM,1989,3061,,TX,12000000,15,,RUBBER OIL-WELL EQUIPMENT,1,11100,4583,6,89599,1361958,,,,19812,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0067,AM,1989,2261,,TX,12000000,400,,STONE-WASHED JEANS,1,7000000,7292,8,244958,4470985,,,,337134,122259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0068,AM,1989,3452,,TX,14500000,127,,"RING GASKETS,BOLTS,NUTS",,,4342,6,221183,4791911,,,,159781,33770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0069,AM,1989,3823,,TX,35000000,420,,ELECTRONIC FLOW COMPUTERS,,,4538,7,562737,11094080,,,,43890,9306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0070,AM,1989,3823,,TX,30000000,275,,INDUSTR. MICROPROCESSORS,1,5000,2288,5,167607,3395956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0071,AM,1989,3546,,TX,40000000,290,,PNEUMATIC HAND TOOLS,,,8400,7,361428,8204865,,,,130139,28212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0072,AM,1989,3533,,TX,65000000,150,,OIL FIELD TOOLS,,,5042,9,370650,8521981,,,,94618,20182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0073,AM,1989,2952,,TX,15000000,75,,ASPHALT ROOFING SHINGLES,1,1080000,3296,7,119672,2199883,,,,200898,60541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0074,AM,1989,3053,,TX,16500000,250,,RUBBER SHEETING,,,4225,7,295400,5823564,,,,70921,24969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0075,AM,1989,2096,,TX,7000000,85,,POTATO & CORN CHIPS,2,3000000,6000,9,146411,2677022,,,,59830,19608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0076,AM,1990,3479,,TX,10000000,80,,PIPECOATING,6,9038,2400,5,269266,3456917,,,,29923,8238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0077,AM,1990,3498,,TX,1500000,27,,OIL FIELD TUBING,,,2000,6,71548,1092028,,,,274763,78754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0078,AM,1990,2752,,TX,25000000,250,,COMMERCIAL PRINTING,2,11600000,5976,4,404260,8257034,,,,61005,12672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0079,AM,1990,3433,,TX,12500000,103,,HEAT EXCHANGERS,,,8568,8,90870,1468054,,,,25861,5475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0080,AM,1990,3547,,TX,7000000,65,,ROLLING MILL MACHINERY,,,4000,8,103553,1694021,,,,37182,7290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0081,AM,1990,3443,,TX,10000000,150,,CUSTOM MACHINE SHOP,,,4900,6,146572,2748535,,,,46486,17363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0082,AM,1990,3537,,TX,11000000,125,,HYDRAULIC EQUIPMENT,1,1500,4692,7,119791,1997655,,,,48561,10135,,,4100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0083,AM,1990,3533,,TX,30000000,225,,OIL FIELD EQUIPMENT,1,40,2250,9,269121,5092907,,,,82011,17164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0084,AM,1990,3443,,TX,13000000,128,,SHELL TUBE HEAT EXCHANGE MANUFACTURE,,,5872,7,81475,1283998,,,,10426,2415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0085,AM,1990,3423,,TX,13000000,170,,AGRICULTURE MACHINERY,1,22690,2265,11,91147,1089390,,,,617,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0086,AM,1990,3086,,TX,11000000,93,,"FOAMED PLASTIC, PADDING",6,123750,6264,9,127928,2441090,,,,73039,16008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0087,AM,1990,3632,,TX,27000000,250,,SMALL FREEZERS,1,1220000,4267,5,120508,2123974,,,,97271,23478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0088,AM,1990,3053,,TX,2500000,18,,MOLDED RUBBER GASKETS,1,3000000,7680,7,56895,960141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0089,AM,1990,3648,,TX,11700000,107,,STREET LIGHTING STANDARDS,1,30000,8736,9,87946,1438453,,,,37212,10755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0090,AM,1990,3261,,TX,11000000,125,,VITREOUS CHINA WARE,1,500000,8736,6,221474,3450176,,,,399208,148950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0091,AM,1990,2491,,TX,12000000,95,,TREATED LUMBER,6,1800,8712,12,137743,1986811,,,,3575,968,,,,,,,,,,,,,42720,489856,,,,,,,,,,,,,,,,,,,,
AM0092,AM,1990,2023,,TX,100000000,178,,FROZEN YOGURT MIXTURE,5,16000,4256,8,660398,16060962,,,,76422,17858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0093,AM,1990,2086,,TX,31000000,74,,SOFT DRINKS,1,5500000,5334,9,176276,2786049,,,,45314,11216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0094,AM,1990,3599,,TX,13500000,70,,MACHINE SHOP JOBS,1,642,4832,9,223672,3633060,,,,44235,8690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0095,AM,1990,3462,,TX,34000000,235,,"FORGINGS,STEEL,TITANIUM",3,1500,8736,9,262384,5255569,,,,985430,521932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0096,AM,1990,2048,,TX,30000000,130,,POULTRY FEED AND EGGS,3,1140000,6188,9,121313,2090270,,,,,,17115,2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0097,AM,1990,2011,,TX,16000000,75,,FRESH MEAT AND SAUSAGES,1,25000,5300,7,91372,1470106,,,,60128,13020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0098,AM,1990,3691,,TX,32000000,375,,LEAD ACID BATTERIES,1,933000,8736,11,519900,10990035,,,,242480,81350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0099,AM,1990,3431,,TX,20000000,200,,ENAMELED STEEL PLUMBING,1,633000,5832,14,315720,5704572,,,,155149,50609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0100,AM,1990,3089,,TX,1800000,20,,ACRYLIC & GLASS SKYLIGHT,1,13850,1900,8,18736,225088,,,,1145,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0101,AM,1990,2096,,TX,125000000,350,,POTATO AND CORN CHIPS,2,49200000,7272,7,443437,10279895,,,,494315,229666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0102,AM,1990,2086,,TX,1600000,42,,SOFT DRINKS,1,3309000,2614,9,115293,1657093,,,,25677,4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0103,AM,1990,3511,,TX,220000000,250,,GAS TURBINE COGENERATORS,1,20,2416,8,217006,3829133,,,,196717,61279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0104,AM,1990,3443,,TX,15000000,95,,HEAT EXCHANGERS,1,250,5757,8,117862,1869285,,,,42016,8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0105,AM,1990,3498,,TX,23000000,162,,PIPE THREADS & COUPLINGS,1,60000,5500,8,314254,6426143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0106,AM,1991,3561,,TX,12000000,245,,OIL PUMPING UNITS,1,1133,2250,6,249327,4857562,,,,43016,19400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0107,AM,1991,3715,,TX,60000000,350,,TRUCK TRAILERS,1,2960,4267,7,259570,5055393,,,,44576,20190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0108,AM,1991,3081,,TX,6000000,50,,COOLING TOWER PARTS,2,2770000,6120,7,105562,1612544,,,,2789,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0109,AM,1991,3479,,TX,9000000,118,,VINYL COATING,2,1300000,4080,6,99352,1650059,,,,78588,15290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0110,AM,1991,3533,,TX,17000000,130,,DRILL FLUID CONDITIONING EQUIPMENT,,,3250,7,76461,1060961,,,,4812,1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0111,AM,1991,2951,,TX,1500000,19,,"HOT MIX ASPHALT,CONCRETE",3,125000,1300,6,62110,586166,,,,80794,37100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0112,AM,1991,2064,,TX,13000000,160,,HARD CANDIES,2,1800000,4335,5,128565,2604045,,,,60950,24439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0113,AM,1991,3322,,TX,45000000,700,,IRON CASTINGS,3,47000,7130,5,3056035,76386285,,,,484057,260058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0114,AM,1991,3823,,TX,15000000,137,,DATA ACQUISITION SYSTEMS,1,800,2500,7,131640,2136870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0115,AM,1991,2741,,TX,19000000,162,,"MAGAZINES, BROCHURES",2,5200000,7272,6,170063,3000586,,,,19168,3809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0116,AM,1991,3462,,TX,9000000,40,,STEEL FORGING,3,12000,6000,6,88379,1112837,,,,258797,107778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0117,AM,1991,3449,,TX,12000000,50,,STEEL REINFORCING BARS,3,40000,3500,5,52725,803341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0118,AM,1991,3469,,TX,13000000,100,,STAINLESS STEEL EQUIPMENT,2,13000000,3355,9,67106,1177608,,,,60331,13616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0119,AM,1991,2013,,TX,24000000,92,,PROCESSED MEATS,2,8900000,5100,4,63549,1411489,,,,6170,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0120,AM,1991,3537,,TX,31000000,150,,AIRCRAFT GROUND POWER,1,400,2780,8,106867,1640680,,,,13043,2644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0121,AM,1991,2015,,TX,30000000,170,,BEEF & CHICKEN PRODUCTS,2,1500000,8736,6,161349,2535756,,,,11318,2324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0122,AM,1991,2421,,TX,10000000,34,,HARDWOOD LUMBER,6,10000,8736,7,100991,2068288,,,,,,,,,,,,,,,,,,55579,90200,,,,,,,,,,,,,,,,,,,,
AM0123,AM,1991,2752,,TX,18000000,170,,PRINTED NEWSPAPER ADVERTISEMENTS,2,21108000,4896,7,212190,3788980,,,,62645,12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0124,AM,1991,2891,,TX,7000000,23,,ADHESIVES AND CAULKS,3,1400000,4344,7,63363,1048359,,,,14777,3448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0125,AM,1991,3441,,TX,17000000,105,,STEEL POLES,3,10000,4000,9,84276,1823857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0126,AM,1991,2051,,TX,26000000,80,,CAKES AND COOKIES,1,1720000,2498,8,109345,1521981,,,,41270,10318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0127,AM,1991,3593,,TX,13000000,170,,HYDRAULIC POWER PRODUCTS,1,84200,4016,6,90685,1756741,,,,10889,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0128,AM,1991,3471,,TX,5000000,36,,HYDRAULIC CYLINDER SHAFT,6,8640000,6024,11,146802,2273740,,,,7968,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0129,AM,1991,2761,,TX,12000000,106,,BUSINESS FORMS,2,7300000,6000,6,74928,1820047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0130,AM,1991,2431,,TX,25000000,320,,"DOOR JAMS, STEPS, & TRIM",6,11000,4310,8,140503,1869871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0131,AM,1991,2431,,TX,17000000,180,,WOOD MOLDINGS & SHAVINGS,6,96000,6120,5,98384,1900059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0132,AM,1991,3496,,TX,20000000,120,,WIRE GARMENT HANGERS,1,356000000,6072,7,71215,1030774,,,,112044,27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
